"name","code","city","region","state","start_lat","start_lon","turn_lat","turn_lon","length","monitored","BB.stat","SMD.stat","LMD.stat"
"North Mummy","NMmmy","Cordova","Gulf of Alaska","Alaska",60.46611,-146.00817,60.46364,-145.99782,1,TRUE,2,1,1
"Mariner Park","MarinrPK","Homer","Gulf of Alaska","Alaska",59.635217,-151.513739,59.630478,-151.492403,1.3,TRUE,2,1,1
"Puale Bay 2","puba2","Kodiak","Gulf of Alaska","Alaska",57.70706,-155.63422,57.69963,-155.63097,1.29,TRUE,2,1,1
"Seward Waterfront","SwrdWtrf","Seward","Gulf of Alaska","Alaska",60.104666,-149.43355,60.11227,-149.43656,0.9,TRUE,1,1,1
"NW Cold Bay","NWColdBy","Cold Bay","Gulf of Alaska","Alaska",55.231725,-162.720724,55.219931,-162.72446,1.4,TRUE,1,1,1
"Cold Bay - Dock S","CldByDck","Cold Bay","Gulf of Alaska","Alaska",55.204517,-162.702933,55.196117,-162.697883,1.4,TRUE,1,1,1
"North Hallo","NHallo","Kukak","Gulf of Alaska","Alaska",58.45671,-154.0737,58.46572,-154.07587,1,TRUE,2,1,1
"Hartney Bay North","HrtnyByN","Cordova","Gulf of Alaska","Alaska",60.49565,-145.871417,60.504033,-145.861617,1.2,TRUE,2,1,1
"Miller's Landing","MllrsLnd","Homer","Gulf of Alaska","Alaska",59.666673,-151.436837,59.670803,-151.423827,1,TRUE,2,1,1
"Sand Dollar Beach","SndDllrB","Sand Point -- Popof Island","Gulf of Alaska","Alaska",55.339996,-160.434457,55.337834,-160.422816,0.8,FALSE,NA,NA,NA
"Goose Cove","GsCve","Cordova","Gulf of Alaska","Alaska",60.44614,-145.88916,NA,NA,1,TRUE,2,1,1
"Outer Outside Bay","OtrOtsdB","","Gulf of Alaska","Alaska",60.650095,-147.43774,60.651143,-147.440004,1,TRUE,1,1,1
"James Lagoon","JmsLgn","Kenai Fjords National Park","Gulf of Alaska","Alaska",59.561091,-150.41023,59.562061,-150.39806,1.6,TRUE,2,1,1
"East Mummy","EMmmy","","Gulf of Alaska","Alaska",60.4611,-146.01298,60.46313,-145.99353,1.5,TRUE,2,1,1
"Mill Bay","MllBy","Kodiak","Gulf of Alaska","Alaska",57.819372,-152.350934,57.821377,-152.354953,0.35,TRUE,1,1,1
"Ram Site","RmSt","Kodiak","Gulf of Alaska","Alaska",57.83052,-152.365073,57.828283,-152.3781,0.8,TRUE,2,1,1
"Ninilchik South","NlchkSth","Ninilchik","Gulf of Alaska","Alaska",60.054504,-151.665516,60.042688,-151.67912,1.52,TRUE,1,1,1
"Marina Cordova","MrnCrdv","Cordova","Gulf of Alaska","Alaska",60.532231,-145.78723,60.527519,-145.79378,0.7,TRUE,2,1,1
"Mission Lake Beach","MssnLk","Kodiak","Gulf of Alaska","Alaska",57.799637,-152.36837,57.79735,-152.373144,0.43,TRUE,2,1,1
"Kenai River Mouth North","KniRvMtN","Kenai","Gulf of Alaska","Alaska",60.551451,-151.274473,60.55013,-151.26221,0.77,TRUE,2,1,1
"Kincaid South","KncdSth","Anchorage ","Gulf of Alaska","Alaska",61.15275,-150.06912,61.14844,-150.05315,1,TRUE,2,1,1
"SE Ingot Bay","SEIngtBy","","Gulf of Alaska","Alaska",60.506467,-147.614917,60.510646,-147.616453,0.47,FALSE,NA,NA,NA
"Bishop's Beach West","BishopsW","Homer","Gulf of Alaska","Alaska",59.642446,-151.584811,59.639592,-151.559692,1.2,TRUE,2,1,1
"Mega Beach 2","MegaBch2","Whitter","Gulf of Alaska","Alaska",60.4375,-147.633383,60.438053,-147.636267,0.23,FALSE,NA,NA,NA
"Chinitna Bay","ChntnBy","","Gulf of Alaska","Alaska",59.88245,-153.0388,59.86114,-153.1394,6.2,TRUE,2,1,1
"Lowell Point South","LowellS","Seward","Gulf of Alaska","Alaska",60.064952,-149.442601,60.071048,-149.435493,1,TRUE,2,1,1
"South Beach Chowiet","SBChowt","Chowiet Island","Gulf of Alaska","Alaska",56.024119,-156.716461,56.023536,-156.71964,0.2,TRUE,2,1,1
"Lowell Point North","LowellN","Seward","Gulf of Alaska","Alaska",60.075202,-149.439086,60.071048,-149.435493,0.3,TRUE,2,1,1
"Orca Cannery","OrCnnry","Cordova","Gulf of Alaska","Alaska",60.578462,-145.721723,60.580411,-145.718343,0.33,TRUE,2,1,1
"Buskin Glass Beach","BsknGlss","Kodiak","Gulf of Alaska","Alaska",57.767008,-152.469318,57.768446,-152.467477,0.1,TRUE,2,1,1
"Puale Bay 1","puba1","Kodiak","Gulf of Alaska","Alaska",57.73733,-155.62286,57.70706,-155.63422,3.61,TRUE,2,1,1
"Diamond Creek North","DMCN","Homer","Gulf of Alaska","Alaska",59.72888889,-151.81277778,59.90222222,-151.98916667,1.83,TRUE,2,NA,NA
"Buldir Is Transect C","BldrIsC","Buldir Island","Aleutian Islands","Alaska",52.371266,-184.109767,52.373029,-184.095765,1,TRUE,2,1,1
"Oystercatcher Beach","OystrBch","Kasatochi Island","Aleutian Islands","Alaska",52.171465,-175.516799,NA,NA,0.5,TRUE,1,1,1
"Buldir Is Transect D","BldrIsD","Buldir Island","Aleutian Islands","Alaska",52.35027,-184.045084,52.34363,-184.04967,1,TRUE,2,1,1
"Dutch Harbor Spit","DchHbSpt","Dutch Harbor","Aleutian Islands","Alaska",53.913053,-166.503629,53.897162,-166.515326,1.94,TRUE,1,1,1
"Petrel Cove","PetrlCv","Aiktak Island","Aleutian Islands","Alaska",54.178006,-164.83996,NA,NA,0.1,TRUE,1,1,1
"Grand-WaterTreatment","GrndToWT","Dutch Harbor","Aleutian Islands","Alaska",53.885404,-166.553632,53.879197,-166.559243,0.8,TRUE,1,1,1
"Palisades","Plsds","Adak","Aleutian Islands","Alaska",51.915454,-176.571708,51.908169,-176.594272,2.3,TRUE,2,1,1
"Summer Bay Beach","SmmrBy","Unalaska","Aleutian Islands","Alaska",53.8988,-166.4651,53.8977,-166.4572,0.53,TRUE,1,1,1
"Buldir Is Transect A","BldrIsA","Buldir Island","Aleutian Islands","Alaska",52.375295,-184.129155,52.371411,-184.118128,0.8,TRUE,2,1,1
"Outfall Beach","Outfall","","Aleutian Islands","Alaska",53.88545,-166.5553,53.87788,-166.56414,1.15,TRUE,1,NA,NA
"Buldir Is Transect B","BldrIsB","Buldir Island","Aleutian Islands","Alaska",52.371411,-184.118128,52.371266,-184.109767,0.5,TRUE,2,1,1
"Old Camp-New","OldNew","Aiktak Island","Aleutian Islands","Alaska",54.188528,-164.837958,54.183797,-164.845672,1.3,TRUE,1,1,1
"Airport Beach South","AprtBchS","","Aleutian Islands","Alaska",53.88545,-166.5553,53.88728,-166.54821,0.53,TRUE,1,NA,NA
"Front Beach Unalska","FrntUnka","Unalaska","Aleutian Islands","Alaska",53.87762,-166.538278,53.872966,-166.524588,1.07,TRUE,2,1,1
"Humpy Cove Beach","HmpyCve","Unalaska","Aleutian Islands","Alaska",53.9045,-166.4434,53.9019,-166.4452,0.32,TRUE,1,1,1
"Little South America","LtSthAm","Dutch Harbor","Aleutian Islands","Alaska",53.87737,-166.565699,53.871458,-166.560561,0.81,TRUE,2,1,1
"Morris Cove","MrrsCv","","Aleutian Islands","Alaska",53.912367,-166.436444,53.923742,-166.436228,1.72,TRUE,2,1,1
"Buldir Is Transect E","BldrIsE","Buldir Island","Aleutian Islands","Alaska",52.370668,-184.076445,52.36732,-184.052559,1.4,TRUE,2,1,1
"Short Beach Savoonga","SBSAV","Savoonga","Bering Sea","Alaska",63.696257,-170.472998,63.695662,-170.470301,0.125,TRUE,2,NA,NA
"NE Neumann Island","NENmnIsl","Cold Bay","Bering Sea","Alaska",55.41328,-162.70125,55.40814,-162.72076,1.3,TRUE,1,1,1
"Mile 25 Council Rd","MI25CnlR","Nome","Bering Sea","Alaska",64.49138889,-164.65638889,64.49516667,-164.63861111,0.95,TRUE,1,1,1
"Benson Beach North","BnsnBchN","St Paul","Bering Sea","Alaska",57.232461,-170.118007,57.226608,-170.131214,1,TRUE,2,1,1
"Cape Glazenap","CpGlznp","Cold Bay","Bering Sea","Alaska",55.24669,-163.00694,55.2372,-163.0201,1.3,TRUE,1,1,1
"Cape Nome","CpNm","Nome","Bering Sea","Alaska",64.43527778,-165.01083333,64.43722222,-165.0225,0.61,TRUE,1,1,1
"Nome River West","NmRvrW","Nome","Bering Sea","Alaska",64.48583333,165.31833333,64.4825,165.30277778,0.839,TRUE,NA,NA,NA
"Staraya Artil","StryArtl","St George","Bering Sea","Alaska",56.604218,-169.609128,NA,NA,0.9,TRUE,1,1,1
"Benson Beach FULL","BnsnFll","","Bering Sea","Alaska",NA,NA,NA,NA,6.5,TRUE,NA,NA,NA
"Naknek Beach","NaknkBch","Naknek","Bering Sea","Alaska",58.73727,-157.06467,58.746207,-157.065066,1,TRUE,2,1,1
"Hall Island","Hlslnd","Hall Island","Bering Sea","Alaska",60.64993,-173.06128,60.64096,-173.05292,1.1,TRUE,1,1,1
"Polovina Beach FULL","PlvnBFLL","","Bering Sea","Alaska",NA,NA,NA,NA,1.9,TRUE,NA,NA,NA
"East Beach","EastBch","Nome","Bering Sea","Alaska",64.488784,-165.342679,64.484569,-165.308752,1.77,TRUE,2,1,1
"North Beach St Paul Full","NBchSPF","St Paul","Bering Sea","Alaska",57.231715,-170.132272,57.211351,-170.285896,9.5,TRUE,NA,NA,NA
"Bonawza Channel","BnwzChnl","Nome","Bering Sea","Alaska",64.54306,-164.43556,64.548222,-164.405917,1.56,TRUE,1,1,1
"East End","EstEnd","Nome","Bering Sea","Alaska",64.492887,-165.375876,64.48904,-165.344432,1.6,TRUE,2,1,1
"Port Heiden","PrtHdn","Port Heiden","Bering Sea","Alaska",NA,NA,NA,NA,1.12,TRUE,1,1,1
"Zappa Beach","ZappaBch","St George","Bering Sea","Alaska",56.569117,-169.689712,56.592551,-169.693873,0.9,TRUE,1,1,1
"Polovina Beach","PlvnBch","St Paul","Bering Sea","Alaska",57.157762,-170.1944286,57.154032,-170.206837,1,TRUE,2,1,1
"Lukanin South FULL","LknnSFLL","","Bering Sea","Alaska",NA,NA,NA,NA,3.1,TRUE,NA,NA,NA
"Long Beach Savoonga","LBSAV","Savoonga","Bering Sea","Alaska",63.695143,-170.468694,63.693127,170.453641,0.8,TRUE,2,NA,NA
"Lukanin South","LknnSth","St Paul","Bering Sea","Alaska",57.135803,-170.261906,57.141781,-170.25214,1,TRUE,2,1,1
"North Beach St Paul","NBchStPl","St Paul","Bering Sea","Alaska",57.231715,-170.132272,57.226199,-170.147967,1,TRUE,2,1,1
"Kanakanak Beach","KnknkBch","Dillingham","Bering Sea","Alaska",59.011884,-158.534114,59.024179,-158.527712,1,TRUE,1,1,1
"Sitka Historic Park","StkaHist","Sitka","Southeast Alaska","Alaska",57.048526,-135.319487,57.046097,-135.311711,0.76,TRUE,2,1,1
"Kruzof SE","KrzfSE","Sitka","Southeast Alaska","Alaska",57.00681,-135.707765,57.130704,-135.56981,0.5,TRUE,1,1,1
"Skagway River","SkgwyRvr","Skagway","Southeast Alaska","Alaska",59.45382,-135.328,59.44998,-135.32934,0.6,TRUE,2,1,1
"Shelikof","Shlkf","Sitka","Southeast Alaska","Alaska",57.166373,-135.74698,57.15683,-135.745802,1,TRUE,1,1,1
"Kruzof Kamenoi","KrzfKmni","Sitka","Southeast Alaska","Alaska",57.12819,-135.572629,57.1309,-135.568651,0.4,TRUE,1,1,1
"Skagway Boat Harbor","SkgwyBt","Skagway","Southeast Alaska","Alaska",59.450897,-135.319921,59.450373,-135.318529,0.1,TRUE,2,1,1
"Sea Mart to Sandy","SmrtSndy","Sitka","Southeast Alaska","Alaska",57.065299,-135.365268,57.076877,-135.376137,1,TRUE,1,1,1
"Buggy Beach","BgyBch","Ketchikan","Southeast Alaska","Alaska",55.310253,-131.581856,55.307046,-131.576231,0.69,TRUE,2,1,1
"Halibut Point Rec","HlbtPtRc","Sitka","Southeast Alaska","Alaska",57.104556,-135.401711,57.09803,-135.396453,1,TRUE,1,1,1
"Sandy Beach - Douglas","sndydoug","Douglas","Southeast Alaska","Alaska",58.273651,-134.386293,58.267798,-134.375466,0.97,TRUE,2,1,1
"Cannon Beach South","CnnnSth","Yakutat","Southeast Alaska","Alaska",59.486851,-139.714368,59.492022,-139.728298,0.97,TRUE,2,1,1
"John Brown's Beach","JhnBrwns","Sitka","Southeast Alaska","Alaska",57.05501,-135.370944,57.054722,-135.371361,0.1,TRUE,1,1,1
"AukRec-OLD","AukeRec2","Juneau","Southeast Alaska","Alaska",58.372109,-134.726101,58.377384,-134.710446,1.5,FALSE,NA,NA,NA
"Shrine of St Terese","ShrStTrs","Juneau","Southeast Alaska","Alaska",58.473505,-134.787215,58.474867,-134.782891,0.55,TRUE,2,1,1
"Refuge Cove","RfgCv","Ketchikan","Southeast Alaska","Alaska",55.409136,-131.75987,55.419291,-131.767217,1.86,TRUE,1,1,1
"Good River","GdRvr","Gustavus","Southeast Alaska","Alaska",58.396572,-135.759954,58.397032,-135.738091,1.3,TRUE,2,1,1
"Sheep Creek","ShpCrk","Juneau","Southeast Alaska","Alaska",58.26148,-134.32856,58.2627,-134.33256,0.27,TRUE,2,1,1
"Mendenhall River","MndnhllR","Juneau","Southeast Alaska","Alaska",58.346146,-134.62276,58.340836,-134.635144,1.3,TRUE,2,1,1
"Mendenhall Peninsula","MndnhllP","Juneau","Southeast Alaska","Alaska",58.34768,-134.64499,58.340879,-134.635334,0.91,TRUE,NA,NA,NA
"Auke Bay Harbor","AkByHrbr","Juneau","Southeast Alaska","Alaska",58.385672,-134.646116,58.386288,-134.650812,0.5,FALSE,NA,NA,NA
"Nahku Bay Beach","NhkuBay","Skagway","Southeast Alaska","Alaska",59.47919,-135.336661,59.479003,-135.33511,0.1,TRUE,2,1,1
"Cannon Beach North","CnnnBchN","Yakutat","Southeast Alaska","Alaska",59.491924,-139.72834,59.504238,-139.763831,2.44,TRUE,2,1,1
"Lester Point","LstrPt","Gustavus","Southeast Alaska","Alaska",58.451697,-135.931677,58.451666,-135.946102,1,TRUE,2,1,1
"Viking Cove","VkngCv","Haines","Southeast Alaska","Alaska",59.146971,-135.344398,59.138161,-135.339835,1.1,TRUE,2,2,2
"Mendenhall Point","MndnhlPt","Juneau","Southeast Alaska","Alaska",58.34422,-134.621358,58.340879,-134.635334,0.95,TRUE,2,1,1
"Kruzof SW","KrzfSW","Sitka","Southeast Alaska","Alaska",57.1295,-135.57075,57.005044,-135.714156,0.7,TRUE,1,1,1
"Auke Rec","AukeRec","Juneau","Southeast Alaska","Alaska",58.372109,-134.726101,58.377384,-134.710446,1.5,TRUE,2,1,1
"Gustavus Salmon Good Rivers","GstvSmGR","Gustavus","Southeast Alaska","Alaska",58.394698,-135.738363,58.394231,-135.758387,1.17,TRUE,2,1,1
"Halibut Point","HlbtPt","Gustavus","Southeast Alaska","Alaska",58.45377,-135.887696,58.450283,-135.900279,0.87,TRUE,2,1,1
"Spaulding","Spldng","Juneau","Southeast Alaska","Alaska",58.384485,-134.65765,58.386355,-134.650846,0.5,TRUE,1,1,1
"Turnaround Beach","Trnrnd","Sitka","Southeast Alaska","Alaska",57.057953,-135.348319,57.058614,-135.347744,0.1,TRUE,1,1,1
"Herring Cove","Hrrngcv","Sitka","Southeast Alaska","Alaska",57.045248,-135.202641,57.043354,-135.199725,0.3,TRUE,1,1,1
"Whiting Inlet","Whiting","Juneau","Southeast Alaska","Alaska",57.99615,-133.713112,58.003621,-133.696268,1.4,TRUE,2,1,1
"Eagle Beach","EglBch","Juneau","Southeast Alaska","Alaska",58.534137,-134.831339,58.526709,-134.822243,1.07,TRUE,2,1,1
"Fish Creek","FshCrk","Juneau","Southeast Alaska","Alaska",58.32347,-134.619879,58.324942,-134.604392,0.97,TRUE,2,1,1
"Boy Scout Beach","BoyScout","Juneau","Southeast Alaska","Alaska",58.525132,-134.83187,58.514708,-134.826432,2.4,TRUE,1,1,1
"Douglas Point SW","DglsPtSW","Douglas","Southeast Alaska","Alaska",58.285971,-134.674563,58.290032,-134.676526,0.42,TRUE,2,1,1
"Bear Cove","BearCove","Sitka","Southeast Alaska","Alaska",57.013459,-135.14996,57.011011,-135.155792,0.5,TRUE,1,1,1
